['p5', '00:01:14', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p5', '00:01:14', 'pan', 'geo-0-1', '-2', '1', 'Sensemaking']
['p5', '00:01:14', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p5', '00:01:14', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p5', '00:01:14', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:01:15', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p5', '00:01:15', 'pan', 'geo-0-1', '0', '-5', 'Sensemaking']
['p5', '00:01:15', 'pan', 'geo-0-1', '0', '-4', 'Sensemaking']
['p5', '00:01:15', 'pan', 'geo-0-1', '-3', '-8', 'Sensemaking']
['p5', '00:01:15', 'pan', 'geo-0-1', '-3', '-3', 'Sensemaking']
['p5', '00:01:15', 'pan', 'geo-0-1', '-2', '-1', 'Sensemaking']
['p5', '00:01:16', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p5', '00:01:16', 'pan', 'geo-0-1', '-4', '0', 'Sensemaking']
['p5', '00:01:16', 'pan', 'geo-0-1', '-7', '0', 'Sensemaking']
['p5', '00:01:16', 'pan', 'geo-0-1', '-7', '-1', 'Sensemaking']
['p5', '00:01:16', 'pan', 'geo-0-1', '-3', '-2', 'Sensemaking']
['p5', '00:01:16', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '3', '-2', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '4', '-1', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '10', '-3', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '6', '-1', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '8', '-1', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '3', '-1', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '5', '-1', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '0', '2', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '6', '0', 'Sensemaking']
