Time,State,action,reward,visualization,subtask,raw_actions
00:24:40,(Question+scatterplot-0-1),steer,0.0,scatterplot-0-1,10,zoom
00:24:42,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,10,pan
00:24:43,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,10,pan
00:24:44,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,10,pan
00:24:46,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,10,pan
00:24:52,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,10,zoom
00:24:53,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,10,zoom
00:24:54,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,10,pan
00:24:55,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,10,pan
00:24:56,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,10,pan
00:24:57,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,10,pan
00:24:58,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,10,pan
00:25:00,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,10,pan
00:25:01,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,10,pan
00:25:05,(Sensemaking+bar-4),observation,0.25,bar-4,10,range select
00:25:14,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,10,range select
00:25:15,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,10,range select
00:25:53,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,10,pan
00:25:54,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,10,pan
00:25:57,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,10,range select
00:26:52,(Sensemaking+scatterplot-0-1),observation,1.0,scatterplot-0-1,10,zoom
00:26:54,(Sensemaking+scatterplot-0-1),explanation,0.0,scatterplot-0-1,10,zoom
00:27:07,(Question+bar-4),steer,0.0,bar-4,10,range select
00:27:11,(Question+scatterplot-0-1),explanation,0.0,scatterplot-0-1,10,pan
00:27:11,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,10,pan
00:27:51,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,10,zoom
00:27:52,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,10,zoom
00:27:53,(Sensemaking+scatterplot-0-1),generalization,1.0,scatterplot-0-1,10,pan
00:27:54,(Sensemaking+scatterplot-0-1),generalization,1.0,scatterplot-0-1,10,pan
00:28:17,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,10,pan
00:28:17,(Question+scatterplot-0-1),steer,0.0,scatterplot-0-1,10,pan
00:28:18,(Question+scatterplot-0-1),steer,0.0,scatterplot-0-1,10,pan
00:28:22,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,range select
00:28:23,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,range select
00:28:26,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,pan
00:28:27,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,pan
00:28:28,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,range select
00:28:29,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,range select
00:29:06,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,pan
00:29:07,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,pan
00:29:08,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,pan
00:29:11,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,range select
00:29:12,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,range select
00:29:36,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,pan
00:29:37,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,pan
00:29:38,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,pan
00:29:39,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,pan
00:29:40,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,pan
00:29:41,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,pan
00:29:46,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,pan
00:29:47,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,pan
00:29:48,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,range select
00:29:49,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,11,range select
