['p8', '00:34:29', 'tile cached', 'undefined', '0-1536-1791-5x1-2048-2303-5x4-0-23-0', 'Sensemaking']
['p8', '00:34:29', 'tile cached', 'undefined', '0-1792-2047-5x1-2048-2303-5x4-0-23-0', 'Sensemaking']
['p8', '00:34:29', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p8', '00:34:30', 'brush', 'hist-3', '3-7-7-0_', 'Sensemaking']
['p8', '00:34:30', 'brush', 'hist-3', '3-4-4-0_', 'Sensemaking']
['p8', '00:34:30', 'brush', 'hist-3', '3-3-3-0_', 'Sensemaking']
['p8', '00:34:30', 'brush', 'hist-3', '3-2-2-0_', 'Sensemaking']
['p8', '00:34:30', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p8', '00:34:34', 'brush', 'hist-2', '2-11-11-0_', 'Sensemaking']
['p8', '00:34:34', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p8', '00:34:36', 'brush', 'hist-2', '2-12-12-0_', 'Sensemaking']
['p8', '00:34:36', 'brush', 'hist-2', '2-11-11-0_', 'Sensemaking']
['p8', '00:34:36', 'brush', 'hist-2', '2-10-10-0_', 'Sensemaking']
['p8', '00:34:37', 'brush', 'hist-2', '2-11-11-0_', 'Sensemaking']
['p8', '00:34:38', 'brush', 'hist-2', '2-10-10-0_', 'Sensemaking']
['p8', '00:34:39', 'brush', 'hist-2', '2-9-9-0_', 'Sensemaking']
['p8', '00:34:39', 'brush', 'hist-2', '2-8-8-0_', 'Sensemaking']
['p8', '00:34:43', 'brush', 'hist-2', '2-7-7-0_', 'Sensemaking']
['p8', '00:34:44', 'brush', 'hist-2', '2-8-8-0_', 'Sensemaking']
['p8', '00:34:48', 'brush', 'hist-2', '2-7-7-0_', 'Sensemaking']
